gene_name,fn_hmm,substrate,
fbp1,resources/fbp1.hmm,"Hydroxamate siderophore",
btuF,/scratch/bgrodner/Resources/KO_profiles/K25034.hmm,"B12",
desE,/scratch/bgrodner/Resources/KO_profiles/K25287.hmm,"Hydroxamate siderophore",
hmuT,/scratch/bgrodner/Resources/KO_profiles/K25132.hmm,"Heme",
fecB,/scratch/bgrodner/Resources/KO_profiles/K25109.hmm,"Hydroxycarboxylate siderophore",
btuF2,/scratch/bgrodner/Resources/KO_profiles/K06858.hmm,"B12",
mtsA,/scratch/bgrodner/Resources/KO_profiles/K11704.hmm,"Iron",
yclQ,/scratch/bgrodner/Resources/KO_profiles/K25282.hmm,"Catecholate siderophore",
fhuD,/scratch/bgrodner/Resources/KO_profiles/K23227.hmm,"Hydroxamate siderophore",
fhuD2,/scratch/bgrodner/Resources/KO_profiles/K25308.hmm,"Hydroxamate siderophore",
htsA,/scratch/bgrodner/Resources/KO_profiles/K25113.hmm,"Hydroxycarboxylate siderophore",
znuA,/scratch/bgrodner/Resources/KO_profiles/K11707.hmm,"Zinc",
znuA2,/scratch/bgrodner/Resources/KO_profiles/K09815.hmm,"Zinc",
psaA,/scratch/bgrodner/Resources/KO_profiles/K19971.hmm,"Zinc",
mtnC,/scratch/bgrodner/Resources/KO_profiles/K11601.hmm,"Manganese",
mtnC2,/scratch/bgrodner/Resources/KO_profiles/K19975.hmm,"Manganese",
