rcsb_id,substrate,taxname
"3CX3","Zinc","Streptococcus pneumoniae"
"1N2Z","B12","Escherichia coli"
"1N4A","B12","Escherichia coli"
"1N4D","B12","Escherichia coli"
"2QI9","B12","Escherichia coli"
"2CHU","Catecholate siderophore","Campylobacter jejuni"
"2WHY","Catecholate siderophore","Bacillus subtilis"
"2WI8","Catecholate siderophore","Bacillus subtilis"
"1ESZ","Hydroxamate siderophore","Escherichia coli"
"1K2V","Hydroxamate siderophore","Escherichia coli"
"1K7S","Hydroxamate siderophore","Escherichia coli"
"3BE5","Hydroxamate siderophore","Escherichia coli"
"3BE6","Hydroxamate siderophore","Escherichia coli"
"3EIW","Hydroxycarboxylate siderophore","Staphylococcus aureus"
"3EIX","Hydroxycarboxylate siderophore","Staphylococcus aureus"
"2Q8P","Heme","Staphylococcus aureus"
"2Q8Q","Heme","Staphylococcus aureus"
"3GI1","Zinc","Streptococcus pyogenes"
"1XVL","Manganese","Synechocystis sp. PCC 6803"
"3HH8","Iron","Streptococcus pyogenes"
"2R79","Heme","Shigella dysenteriae"
"1PSZ","Zinc","Streptococcus pneumoniae"
"2RG7","Heme","Shigella dysenteriae"
"1K0F","Manganese","Treponema pallidum"
"1TOA","Manganese","Treponema pallidum"
"2PRS","Zinc","Escherichia coli"
"2PS0","Zinc","Escherichia coli"
"2PS3","Zinc","Escherichia coli"
"2PS9","Zinc","Escherichia coli"
